artist_name,artist_popularity,artist_track_count
A Perfect Circle,0.16140454908787163,96
A Perfect Murder,0.027789156357953402,42
A Place To Bury Strangers,0.0662664497766581,6
A Plea for Purging,0.036658036046661936,27
A Produce,0.03132595807623838,35
A Puro Viento,0.08204417591395766,1
A Quenlla,0.07831489519059595,2
A R I Z O N A,0.44332505498353286,29
A Radio With Guts,0.053841490443534715,12
A Reminiscent Drive,0.12376944064514141,2
A Rocket To The Moon,0.09084012213004937,43
A Scent Like Wolves,0.07831489519059595,2
A Season Drive,0.07490989974752656,3
A Sense of Purpose,0.07831489519059595,2
A Si,0.22011260362281193,6
A Silent Escape,0.08204417591395766,1
A Silent Film,0.07490989974752656,3
A Skylit Drive,0.06358808549103456,70
A Small Good Thing,0.052209930127063965,13
A Small Victory,0.08204417591395766,1
A Smile and a Ribbon,0.052209930127063965,13
A Sound of Thunder,0.08204417591395766,1
A Static Lullaby,0.04125648021504713,46
A Story Told,0.16922398609968686,2
